edge,lag,lag_s,coef,se,t,p_raw,n_obs_x,coef_placebo,se_placebo,t_placebo,p_placebo,n_obs_y,p_fdr,bh_significant,placebo_robust,final_kept
BITGET->BYBITSPOT,6,180,0.021132686939942524,0.023081000865373742,0.9155879791870685,0.3599602014551646,2863,0.021132686939942524,0.023081000865373742,0.9155879791870685,0.3599602014551646,2863,0.9531106818045705,False,True,False
BITGET->COINBASE,1,30,0.008677587316883267,0.019123319641732937,0.45376992485897244,0.6500287776518323,2869,0.008677587316883267,0.019123319641732937,0.45376992485897244,0.6500287776518323,2869,0.9531106818045705,False,True,False
BITGET->COINBASE,3,90,0.024181223779702332,0.01844227284054421,1.311184580597972,0.18990048590361996,2867,0.024181223779702332,0.01844227284054421,1.311184580597972,0.18990048590361996,2867,0.9531106818045705,False,True,False
BITGET->COINBASE,6,180,-0.012175665925594556,0.01938168546903647,-0.6282047010331476,0.5299199758500688,2864,-0.012175665925594556,0.01938168546903647,-0.6282047010331476,0.5299199758500688,2864,0.9531106818045705,False,True,False
BYBITSPOT->BINANCE,1,30,-0.0063619012656235836,0.019113273191688752,-0.332852526190543,0.7392813316546829,1955,-0.0063619012656235836,0.019113273191688752,-0.332852526190543,0.7392813316546829,1955,0.9531106818045705,False,True,False
BYBITSPOT->BINANCE,3,90,0.017378999197035214,0.018782197902428917,0.9252910275632735,0.35492897764150855,1953,0.017378999197035214,0.018782197902428917,0.9252910275632735,0.35492897764150855,1953,0.9531106818045705,False,True,False
BYBITSPOT->BINANCE,6,180,-0.00885599667486959,0.03737189778355828,-0.23696941285025602,0.8127054360462282,1950,-0.00885599667486959,0.03737189778355828,-0.23696941285025602,0.8127054360462282,1950,0.9531106818045705,False,True,False
BYBITSPOT->BITGET,1,30,-0.017891076602837636,0.021945583881525742,-0.8152472360463703,0.41500241899488355,2713,-0.017891076602837636,0.021945583881525742,-0.8152472360463703,0.41500241899488355,2713,0.9531106818045705,False,True,False
BYBITSPOT->BITGET,3,90,0.009061735102334567,0.026679206074080798,0.33965535095657,0.7341424196367117,2711,0.009061735102334567,0.026679206074080798,0.33965535095657,0.7341424196367117,2711,0.9531106818045705,False,True,False
BYBITSPOT->BITGET,6,180,-0.0028500725041196943,0.03094963384009538,-0.0920874385411117,0.9266353850877769,2708,-0.0028500725041196943,0.03094963384009538,-0.0920874385411117,0.9266353850877769,2708,0.9531106818045705,False,True,False
BYBITSPOT->COINBASE,1,30,-0.01917771045906075,0.022949262998185473,-0.835656921121043,0.40341732984883505,2879,-0.01917771045906075,0.022949262998185473,-0.835656921121043,0.40341732984883505,2879,0.9531106818045705,False,True,False
BYBITSPOT->COINBASE,3,90,-0.012009099579028496,0.019292974290178184,-0.622459730594374,0.5336889791599138,2877,-0.012009099579028496,0.019292974290178184,-0.622459730594374,0.5336889791599138,2877,0.9531106818045705,False,True,False
BYBITSPOT->COINBASE,6,180,0.008880073131155816,0.02326747554169451,0.38165176601316425,0.7027479153754492,2874,0.008880073131155816,0.02326747554169451,0.38165176601316425,0.7027479153754492,2874,0.9531106818045705,False,True,False
COINBASE->BINANCE,1,30,-0.0039756207470362575,0.031455660399186236,-0.1263880871227586,0.8994380832049917,1905,-0.0039756207470362575,0.031455660399186236,-0.1263880871227586,0.8994380832049917,1905,0.9531106818045705,False,True,False
COINBASE->BINANCE,3,90,-0.0037785036656117913,0.034585140259756876,-0.1092522290565478,0.9130139662294787,1903,-0.0037785036656117913,0.034585140259756876,-0.1092522290565478,0.9130139662294787,1903,0.9531106818045705,False,True,False
COINBASE->BINANCE,6,180,-0.025508900712607793,0.03371119025562103,-0.7566894114144906,0.4493298747663732,1900,-0.025508900712607793,0.03371119025562103,-0.7566894114144906,0.4493298747663732,1900,0.9531106818045705,False,True,False
COINBASE->BITGET,1,30,0.021540632676797657,0.0181967807852711,1.1837606294753602,0.23661404378565232,2651,0.021540632676797657,0.0181967807852711,1.1837606294753602,0.23661404378565232,2651,0.9531106818045705,False,True,False
COINBASE->BITGET,3,90,0.0009450867123298543,0.02104610097582407,0.0449055487007065,0.9641859812980431,2649,0.0009450867123298543,0.02104610097582407,0.0449055487007065,0.9641859812980431,2649,0.9641859812980431,False,True,False
COINBASE->BITGET,6,180,-0.004324435104193536,0.015491026418776253,-0.2791574287777346,0.7801458453493175,2646,-0.004324435104193536,0.015491026418776253,-0.2791574287777346,0.7801458453493175,2646,0.9531106818045705,False,True,False
COINBASE->BYBITSPOT,1,30,-0.006329177238211898,0.016577573622483594,-0.38179153248505876,0.702644981726523,2801,-0.006329177238211898,0.016577573622483594,-0.38179153248505876,0.702644981726523,2801,0.9531106818045705,False,True,False
COINBASE->BYBITSPOT,3,90,-0.012571109994747216,0.014097404667045382,-0.8917322224660196,0.3726131829282284,2799,-0.012571109994747216,0.014097404667045382,-0.8917322224660196,0.3726131829282284,2799,0.9531106818045705,False,True,False
COINBASE->BYBITSPOT,6,180,-0.0025848443596838185,0.01529666942067024,-0.16898086038199553,0.8658239281171587,2796,-0.0025848443596838185,0.01529666942067024,-0.16898086038199553,0.8658239281171587,2796,0.9531106818045705,False,True,False
