date,venue,key,abs_path,size_bytes,sha256,reason
20250716,COINBASE,T-TRADES/D-20250716/E-COINBASE/IDDI-138306+SC-COINBASE_SPOT_BCH_BTC+S-BCH__002DBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-COINBASE/QUARANTINE_IDDI_f5c7c2f5__BTC_USD.csv.gz,56944,620fa359ebfca27cb17203f9fd3e25ab301ac8e32583891f231ab78468632d99,Non-target BTC pair (not BTC-USD)
20250716,COINBASE,T-TRADES/D-20250716/E-COINBASE/IDDI-27577+SC-COINBASE_SPOT_BTC_EUR+S-BTC__002DEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-COINBASE/QUARANTINE_IDDI_b0126072__BTC_USD.csv.gz,3123880,0bfc2aea1fc5c327a891d035cd01854f89f086dc22824f896a7858c5b86dd4e2,Non-target BTC pair (not BTC-USD)
20250716,BINANCE,T-TRADES/D-20250716/E-BINANCE/IDDI-13110746+SC-BINANCE_SPOT_ARKM_BTC+S-ARKMBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-BINANCE/QUARANTINE_IDDI_aac1f47b__BTCUSDT.csv.gz,8222,f3e7f85dc664d6833f1c3c9ad0f104d8a8a7514261ff414b757faccaded71be8,Non-target BTC pair (not BTCUSDT)
20250716,BINANCE,T-TRADES/D-20250716/E-BINANCE/IDDI-137772+SC-BINANCE_SPOT_ICX_BTC+S-ICXBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-BINANCE/QUARANTINE_IDDI_eebc2d38__BTCUSDT.csv.gz,1583,4712e960384dd758e42897e91c3f8cdb8e82862f9ffd18fa5dcf92c666cc63a3,Non-target BTC pair (not BTCUSDT)
20250716,BYBITSPOT,T-TRADES/D-20250716/E-BYBITSPOT/IDDI-12529783+SC-BYBITSPOT_SPOT_MNT_BTC+S-MNTBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-BYBITSPOT/QUARANTINE_IDDI_85d11a60__BTCUSDT.csv.gz,8050,36c7b631e7b1c822ff0ba7fd36a0ed0bb2484a5fecf0cddb3ede3ba42ccb18b6,Non-target BTC pair (not BTCUSDT)
20250716,BYBITSPOT,T-TRADES/D-20250716/E-BYBITSPOT/IDDI-33092978+SC-BYBITSPOT_SPOT_BTC_EUR+S-BTCEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-BYBITSPOT/QUARANTINE_IDDI_bf046762__BTCUSDT.csv.gz,182097,55b1ff038a5eefbb806d1c8f0a9a722a26df458cebd4db95f37729ce5328a838,Non-target BTC pair (not BTCUSDT)
20250716,BITGET,T-TRADES/D-20250716/E-BITGET/IDDI-36881220+SC-BITGET_SPOT_SOL_BTC+S-SOLBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-BITGET/QUARANTINE_IDDI_719653f6__BTCUSDT.csv.gz,328002,0e1104d90e719c0b10adaef9f3706dc6910a373afb21bec7f234fe9f90215003,Non-target BTC pair (not BTCUSDT)
20250716,BITGET,T-TRADES/D-20250716/E-BITGET/IDDI-36881221+SC-BITGET_SPOT_AVAX_BTC+S-AVAXBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250716/E-BITGET/QUARANTINE_IDDI_860d23e8__BTCUSDT.csv.gz,261748,053fab4d7a56359927780efd7a12b66122d772851103d900d25fab1c839459c9,Non-target BTC pair (not BTCUSDT)
20250717,COINBASE,T-TRADES/D-20250717/E-COINBASE/IDDI-138306+SC-COINBASE_SPOT_BCH_BTC+S-BCH__002DBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-COINBASE/QUARANTINE_IDDI_47050f34__BTC_USD.csv.gz,29899,08a101d310c1f6683ad456e63d445ffc52e440d9d61c4d01ab63f331f5511351,Non-target BTC pair (not BTC-USD)
20250717,COINBASE,T-TRADES/D-20250717/E-COINBASE/IDDI-27577+SC-COINBASE_SPOT_BTC_EUR+S-BTC__002DEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-COINBASE/QUARANTINE_IDDI_56f24d6a__BTC_USD.csv.gz,3100784,6d57b59f667a7c70604d9eca9b5164f8bc9e82ef1125b78cee965fa278dabcf9,Non-target BTC pair (not BTC-USD)
20250717,BINANCE,T-TRADES/D-20250717/E-BINANCE/IDDI-13110746+SC-BINANCE_SPOT_ARKM_BTC+S-ARKMBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-BINANCE/QUARANTINE_IDDI_197438c5__BTCUSDT.csv.gz,8170,47d1cea42751c4ac4935381c0ec0fbf544a2610c7fb824cc24954bf106115dad,Non-target BTC pair (not BTCUSDT)
20250717,BINANCE,T-TRADES/D-20250717/E-BINANCE/IDDI-137772+SC-BINANCE_SPOT_ICX_BTC+S-ICXBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-BINANCE/QUARANTINE_IDDI_6de3384f__BTCUSDT.csv.gz,3705,b3aa8dc8c4bdd845508fcc648d2bff76354019838f0887d0c13ac21994d1b24a,Non-target BTC pair (not BTCUSDT)
20250717,BYBITSPOT,T-TRADES/D-20250717/E-BYBITSPOT/IDDI-12529783+SC-BYBITSPOT_SPOT_MNT_BTC+S-MNTBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-BYBITSPOT/QUARANTINE_IDDI_7ce2cf46__BTCUSDT.csv.gz,12458,b6d718b92cd9a7d5cebe259368c0b510f878698a84b771de0f22da21af81daa9,Non-target BTC pair (not BTCUSDT)
20250717,BYBITSPOT,T-TRADES/D-20250717/E-BYBITSPOT/IDDI-33092978+SC-BYBITSPOT_SPOT_BTC_EUR+S-BTCEUR.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-BYBITSPOT/QUARANTINE_IDDI_84cae46a__BTCUSDT.csv.gz,145729,e7b9d9cd1a4bee2ee935c1eda88e73107a1481a3f5ca1dfa471ed15c5847e764,Non-target BTC pair (not BTCUSDT)
20250717,BITGET,T-TRADES/D-20250717/E-BITGET/IDDI-36881220+SC-BITGET_SPOT_SOL_BTC+S-SOLBTC.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/quarantine/20250717/E-BITGET/QUARANTINE_IDDI_33a0aaf9__BTCUSDT.csv.gz,302525,b7ccf779655042052e7993ee836e3fbc47f2bee966c08c0f078d37aa5c8f97ab,Non-target BTC pair (not BTCUSDT)
