week,date,venue,pair,reason
W-4,20250728,COINBASE,BTC-USD,File not found in any directory
W-4,20250728,BINANCE,BTCUSDT,File not found in any directory
W-4,20250728,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250728,BITGET,BTCUSDT,File not found in any directory
W-4,20250729,COINBASE,BTC-USD,File not found in any directory
W-4,20250729,BINANCE,BTCUSDT,File not found in any directory
W-4,20250729,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250729,BITGET,BTCUSDT,File not found in any directory
W-4,20250730,COINBASE,BTC-USD,File not found in any directory
W-4,20250730,BINANCE,BTCUSDT,File not found in any directory
W-4,20250730,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250730,BITGET,BTCUSDT,File not found in any directory
W-4,20250731,COINBASE,BTC-USD,File not found in any directory
W-4,20250731,BINANCE,BTCUSDT,File not found in any directory
W-4,20250731,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250731,BITGET,BTCUSDT,File not found in any directory
W-4,20250801,COINBASE,BTC-USD,File not found in any directory
W-4,20250801,BINANCE,BTCUSDT,File not found in any directory
W-4,20250801,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250801,BITGET,BTCUSDT,File not found in any directory
W-4,20250802,COINBASE,BTC-USD,File not found in any directory
W-4,20250802,BINANCE,BTCUSDT,File not found in any directory
W-4,20250802,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250802,BITGET,BTCUSDT,File not found in any directory
W-4,20250803,COINBASE,BTC-USD,File not found in any directory
W-4,20250803,BINANCE,BTCUSDT,File not found in any directory
W-4,20250803,BYBITSPOT,BTCUSDT,File not found in any directory
W-4,20250803,BITGET,BTCUSDT,File not found in any directory
W-3,20250804,COINBASE,BTC-USD,File not found in any directory
W-3,20250804,BINANCE,BTCUSDT,File not found in any directory
W-3,20250804,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250804,BITGET,BTCUSDT,File not found in any directory
W-3,20250805,COINBASE,BTC-USD,File not found in any directory
W-3,20250805,BINANCE,BTCUSDT,File not found in any directory
W-3,20250805,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250805,BITGET,BTCUSDT,File not found in any directory
W-3,20250806,COINBASE,BTC-USD,File not found in any directory
W-3,20250806,BINANCE,BTCUSDT,File not found in any directory
W-3,20250806,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250806,BITGET,BTCUSDT,File not found in any directory
W-3,20250807,COINBASE,BTC-USD,File not found in any directory
W-3,20250807,BINANCE,BTCUSDT,File not found in any directory
W-3,20250807,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250807,BITGET,BTCUSDT,File not found in any directory
W-3,20250808,COINBASE,BTC-USD,File not found in any directory
W-3,20250808,BINANCE,BTCUSDT,File not found in any directory
W-3,20250808,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250808,BITGET,BTCUSDT,File not found in any directory
W-3,20250809,COINBASE,BTC-USD,File not found in any directory
W-3,20250809,BINANCE,BTCUSDT,File not found in any directory
W-3,20250809,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250809,BITGET,BTCUSDT,File not found in any directory
W-3,20250810,COINBASE,BTC-USD,File not found in any directory
W-3,20250810,BINANCE,BTCUSDT,File not found in any directory
W-3,20250810,BYBITSPOT,BTCUSDT,File not found in any directory
W-3,20250810,BITGET,BTCUSDT,File not found in any directory
W-2,20250811,COINBASE,BTC-USD,File not found in any directory
W-2,20250811,BINANCE,BTCUSDT,File not found in any directory
W-2,20250811,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250811,BITGET,BTCUSDT,File not found in any directory
W-2,20250812,COINBASE,BTC-USD,File not found in any directory
W-2,20250812,BINANCE,BTCUSDT,File not found in any directory
W-2,20250812,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250812,BITGET,BTCUSDT,File not found in any directory
W-2,20250813,COINBASE,BTC-USD,File not found in any directory
W-2,20250813,BINANCE,BTCUSDT,File not found in any directory
W-2,20250813,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250813,BITGET,BTCUSDT,File not found in any directory
W-2,20250814,COINBASE,BTC-USD,File not found in any directory
W-2,20250814,BINANCE,BTCUSDT,File not found in any directory
W-2,20250814,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250814,BITGET,BTCUSDT,File not found in any directory
W-2,20250815,COINBASE,BTC-USD,File not found in any directory
W-2,20250815,BINANCE,BTCUSDT,File not found in any directory
W-2,20250815,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250815,BITGET,BTCUSDT,File not found in any directory
W-2,20250816,COINBASE,BTC-USD,File not found in any directory
W-2,20250816,BINANCE,BTCUSDT,File not found in any directory
W-2,20250816,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250816,BITGET,BTCUSDT,File not found in any directory
W-2,20250817,COINBASE,BTC-USD,File not found in any directory
W-2,20250817,BINANCE,BTCUSDT,File not found in any directory
W-2,20250817,BYBITSPOT,BTCUSDT,File not found in any directory
W-2,20250817,BITGET,BTCUSDT,File not found in any directory
W-1,20250818,COINBASE,BTC-USD,File not found in any directory
W-1,20250818,BINANCE,BTCUSDT,File not found in any directory
W-1,20250818,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250818,BITGET,BTCUSDT,File not found in any directory
W-1,20250819,COINBASE,BTC-USD,File not found in any directory
W-1,20250819,BINANCE,BTCUSDT,File not found in any directory
W-1,20250819,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250819,BITGET,BTCUSDT,File not found in any directory
W-1,20250820,COINBASE,BTC-USD,File not found in any directory
W-1,20250820,BINANCE,BTCUSDT,File not found in any directory
W-1,20250820,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250820,BITGET,BTCUSDT,File not found in any directory
W-1,20250821,COINBASE,BTC-USD,File not found in any directory
W-1,20250821,BINANCE,BTCUSDT,File not found in any directory
W-1,20250821,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250821,BITGET,BTCUSDT,File not found in any directory
W-1,20250822,COINBASE,BTC-USD,File not found in any directory
W-1,20250822,BINANCE,BTCUSDT,File not found in any directory
W-1,20250822,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250822,BITGET,BTCUSDT,File not found in any directory
W-1,20250823,COINBASE,BTC-USD,File not found in any directory
W-1,20250823,BINANCE,BTCUSDT,File not found in any directory
W-1,20250823,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250823,BITGET,BTCUSDT,File not found in any directory
W-1,20250824,COINBASE,BTC-USD,File not found in any directory
W-1,20250824,BINANCE,BTCUSDT,File not found in any directory
W-1,20250824,BYBITSPOT,BTCUSDT,File not found in any directory
W-1,20250824,BITGET,BTCUSDT,File not found in any directory
W0,20250825,COINBASE,BTC-USD,File not found in any directory
W0,20250825,BINANCE,BTCUSDT,File not found in any directory
W0,20250825,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250825,BITGET,BTCUSDT,File not found in any directory
W0,20250826,COINBASE,BTC-USD,File not found in any directory
W0,20250826,BINANCE,BTCUSDT,File not found in any directory
W0,20250826,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250826,BITGET,BTCUSDT,File not found in any directory
W0,20250827,COINBASE,BTC-USD,File not found in any directory
W0,20250827,BINANCE,BTCUSDT,File not found in any directory
W0,20250827,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250827,BITGET,BTCUSDT,File not found in any directory
W0,20250828,COINBASE,BTC-USD,File not found in any directory
W0,20250828,BINANCE,BTCUSDT,File not found in any directory
W0,20250828,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250828,BITGET,BTCUSDT,File not found in any directory
W0,20250829,COINBASE,BTC-USD,File not found in any directory
W0,20250829,BINANCE,BTCUSDT,File not found in any directory
W0,20250829,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250829,BITGET,BTCUSDT,File not found in any directory
W0,20250830,COINBASE,BTC-USD,File not found in any directory
W0,20250830,BINANCE,BTCUSDT,File not found in any directory
W0,20250830,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250830,BITGET,BTCUSDT,File not found in any directory
W0,20250831,COINBASE,BTC-USD,File not found in any directory
W0,20250831,BINANCE,BTCUSDT,File not found in any directory
W0,20250831,BYBITSPOT,BTCUSDT,File not found in any directory
W0,20250831,BITGET,BTCUSDT,File not found in any directory
W1,20250901,COINBASE,BTC-USD,File not found in any directory
W1,20250901,BINANCE,BTCUSDT,File not found in any directory
W1,20250901,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250901,BITGET,BTCUSDT,File not found in any directory
W1,20250902,COINBASE,BTC-USD,File not found in any directory
W1,20250902,BINANCE,BTCUSDT,File not found in any directory
W1,20250902,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250902,BITGET,BTCUSDT,File not found in any directory
W1,20250903,COINBASE,BTC-USD,File not found in any directory
W1,20250903,BINANCE,BTCUSDT,File not found in any directory
W1,20250903,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250903,BITGET,BTCUSDT,File not found in any directory
W1,20250904,COINBASE,BTC-USD,File not found in any directory
W1,20250904,BINANCE,BTCUSDT,File not found in any directory
W1,20250904,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250904,BITGET,BTCUSDT,File not found in any directory
W1,20250905,COINBASE,BTC-USD,File not found in any directory
W1,20250905,BINANCE,BTCUSDT,File not found in any directory
W1,20250905,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250905,BITGET,BTCUSDT,File not found in any directory
W1,20250906,COINBASE,BTC-USD,File not found in any directory
W1,20250906,BINANCE,BTCUSDT,File not found in any directory
W1,20250906,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250906,BITGET,BTCUSDT,File not found in any directory
W1,20250907,COINBASE,BTC-USD,File not found in any directory
W1,20250907,BINANCE,BTCUSDT,File not found in any directory
W1,20250907,BYBITSPOT,BTCUSDT,File not found in any directory
W1,20250907,BITGET,BTCUSDT,File not found in any directory
W2,20250908,COINBASE,BTC-USD,File not found in any directory
W2,20250908,BINANCE,BTCUSDT,File not found in any directory
W2,20250908,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250908,BITGET,BTCUSDT,File not found in any directory
W2,20250909,COINBASE,BTC-USD,File not found in any directory
W2,20250909,BINANCE,BTCUSDT,File not found in any directory
W2,20250909,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250909,BITGET,BTCUSDT,File not found in any directory
W2,20250910,COINBASE,BTC-USD,File not found in any directory
W2,20250910,BINANCE,BTCUSDT,File not found in any directory
W2,20250910,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250910,BITGET,BTCUSDT,File not found in any directory
W2,20250911,COINBASE,BTC-USD,File not found in any directory
W2,20250911,BINANCE,BTCUSDT,File not found in any directory
W2,20250911,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250911,BITGET,BTCUSDT,File not found in any directory
W2,20250912,COINBASE,BTC-USD,File not found in any directory
W2,20250912,BINANCE,BTCUSDT,File not found in any directory
W2,20250912,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250912,BITGET,BTCUSDT,File not found in any directory
W2,20250913,COINBASE,BTC-USD,File not found in any directory
W2,20250913,BINANCE,BTCUSDT,File not found in any directory
W2,20250913,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250913,BITGET,BTCUSDT,File not found in any directory
W2,20250914,COINBASE,BTC-USD,File not found in any directory
W2,20250914,BINANCE,BTCUSDT,File not found in any directory
W2,20250914,BYBITSPOT,BTCUSDT,File not found in any directory
W2,20250914,BITGET,BTCUSDT,File not found in any directory
W3,20250915,COINBASE,BTC-USD,File not found in any directory
W3,20250915,BINANCE,BTCUSDT,File not found in any directory
W3,20250915,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250915,BITGET,BTCUSDT,File not found in any directory
W3,20250916,COINBASE,BTC-USD,File not found in any directory
W3,20250916,BINANCE,BTCUSDT,File not found in any directory
W3,20250916,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250916,BITGET,BTCUSDT,File not found in any directory
W3,20250917,COINBASE,BTC-USD,File not found in any directory
W3,20250917,BINANCE,BTCUSDT,File not found in any directory
W3,20250917,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250917,BITGET,BTCUSDT,File not found in any directory
W3,20250918,COINBASE,BTC-USD,File not found in any directory
W3,20250918,BINANCE,BTCUSDT,File not found in any directory
W3,20250918,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250918,BITGET,BTCUSDT,File not found in any directory
W3,20250919,COINBASE,BTC-USD,File not found in any directory
W3,20250919,BINANCE,BTCUSDT,File not found in any directory
W3,20250919,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250919,BITGET,BTCUSDT,File not found in any directory
W3,20250920,COINBASE,BTC-USD,File not found in any directory
W3,20250920,BINANCE,BTCUSDT,File not found in any directory
W3,20250920,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250920,BITGET,BTCUSDT,File not found in any directory
W3,20250921,COINBASE,BTC-USD,File not found in any directory
W3,20250921,BINANCE,BTCUSDT,File not found in any directory
W3,20250921,BYBITSPOT,BTCUSDT,File not found in any directory
W3,20250921,BITGET,BTCUSDT,File not found in any directory
W4,20250922,COINBASE,BTC-USD,File not found in any directory
W4,20250923,COINBASE,BTC-USD,File not found in any directory
W4,20250924,COINBASE,BTC-USD,File not found in any directory
W4,20250925,COINBASE,BTC-USD,File not found in any directory
W4,20250926,COINBASE,BTC-USD,File not found in any directory
W4,20250927,COINBASE,BTC-USD,File not found in any directory
W4,20250928,COINBASE,BTC-USD,File not found in any directory
W5,20250929,COINBASE,BTC-USD,File not found in any directory
W5,20250930,COINBASE,BTC-USD,File not found in any directory
W5,20251001,COINBASE,BTC-USD,File not found in any directory
W5,20251002,COINBASE,BTC-USD,File not found in any directory
W5,20251003,COINBASE,BTC-USD,File not found in any directory
W5,20251004,COINBASE,BTC-USD,File not found in any directory
W5,20251005,COINBASE,BTC-USD,File not found in any directory
W6,20251006,COINBASE,BTC-USD,File not found in any directory
W6,20251007,COINBASE,BTC-USD,File not found in any directory
W6,20251008,COINBASE,BTC-USD,File not found in any directory
W6,20251009,COINBASE,BTC-USD,File not found in any directory
W6,20251010,COINBASE,BTC-USD,File not found in any directory
W6,20251011,COINBASE,BTC-USD,File not found in any directory
W6,20251011,BINANCE,BTCUSDT,File not found in any directory
W6,20251011,BYBITSPOT,BTCUSDT,File not found in any directory
W6,20251011,BITGET,BTCUSDT,File not found in any directory
W6,20251012,COINBASE,BTC-USD,File not found in any directory
W6,20251012,BINANCE,BTCUSDT,File not found in any directory
W6,20251012,BYBITSPOT,BTCUSDT,File not found in any directory
W6,20251012,BITGET,BTCUSDT,File not found in any directory
