current_path,suggested_path,size,modified_ts
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-24893928+SC-BINANCE_SPOT_SEI_BTC+S-SEIBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-24893928+SC-BINANCE_SPOT_SEI_BTC+S-SEIBTC.csv.gz,89221,2025-10-11T14:45:33.527231
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36905284+SC-BINANCE_SPOT_ENA_BTC+S-ENABTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36905284+SC-BINANCE_SPOT_ENA_BTC+S-ENABTC.csv.gz,57004,2025-10-11T14:45:50.139309
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-24893936+SC-BINANCE_SPOT_CYBER_BTC+S-CYBERBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-24893936+SC-BINANCE_SPOT_CYBER_BTC+S-CYBERBTC.csv.gz,8715,2025-10-11T14:45:34.375087
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138174+SC-BINANCE_SPOT_GAS_BTC+S-GASBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-138174+SC-BINANCE_SPOT_GAS_BTC+S-GASBTC.csv.gz,41665,2025-10-11T14:45:11.091807
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36880403+SC-BINANCE_SPOT_WIF_BTC+S-WIFBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36880403+SC-BINANCE_SPOT_WIF_BTC+S-WIFBTC.csv.gz,51125,2025-10-11T14:45:46.004781
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-137823+SC-BINANCE_SPOT_XRP_BTC+S-XRPBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-137823+SC-BINANCE_SPOT_XRP_BTC+S-XRPBTC.csv.gz,1425450,2025-10-11T14:44:55.720218
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-137879+SC-BINANCE_SPOT_MTL_BTC+S-MTLBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-137879+SC-BINANCE_SPOT_MTL_BTC+S-MTLBTC.csv.gz,9976,2025-10-11T14:44:56.203645
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-140557+SC-BINANCE_SPOT_PIVX_BTC+S-PIVXBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-140557+SC-BINANCE_SPOT_PIVX_BTC+S-PIVXBTC.csv.gz,5077,2025-10-11T14:45:25.801478
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36877995+SC-BINANCE_SPOT_AXL_BTC+S-AXLBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36877995+SC-BINANCE_SPOT_AXL_BTC+S-AXLBTC.csv.gz,3817,2025-10-11T14:45:44.623996
data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36832698+SC-BINANCE_SPOT_NFP_BTC+S-NFPBTC.csv.gz,artifacts/data_v7/quarantine/week7_other_pairs/coinapi_jul_w7/20250707/BINANCE/IDDI-36832698+SC-BINANCE_SPOT_NFP_BTC+S-NFPBTC.csv.gz,3847,2025-10-11T14:45:38.403277
