venue,window_start,lrs,mean_correlation
BITGET,5160,0.9865716732044895,0.9865716732044895
BINANCE,5220,0.9887047339708434,0.9887047339708434
COINBASE,5220,0.9869839608930885,0.9869839608930885
BYBITSPOT,5220,0.9886906080779005,0.9886906080779005
BITGET,5220,0.9882929269106436,0.9882929269106436
BINANCE,5280,0.9801976849392752,0.9801976849392752
COINBASE,5280,0.9743304466814018,0.9743304466814018
BYBITSPOT,5280,0.9827355049076751,0.9827355049076751
BITGET,5280,0.9783356509309201,0.9783356509309201
BINANCE,5340,0.9903714620776398,0.9903714620776398
COINBASE,5340,0.987823076987496,0.987823076987496
BYBITSPOT,5340,0.9911763788902267,0.9911763788902267
BITGET,5340,0.9896805969715426,0.9896805969715426
BINANCE,5400,0.9975176228985889,0.9975176228985889
COINBASE,5400,0.9966395591660722,0.9966395591660722
BYBITSPOT,5400,0.9975983843480521,0.9975983843480521
BITGET,5400,0.9972367594545938,0.9972367594545938
BINANCE,5460,0.9976140280871132,0.9976140280871132
COINBASE,5460,0.9972440061201658,0.9972440061201658
BYBITSPOT,5460,0.9978527811092581,0.9978527811092581
BITGET,5460,0.9975247130606791,0.9975247130606791
BINANCE,5520,0.9913930349940822,0.9913930349940822
COINBASE,5520,0.9895710680712657,0.9895710680712657
BYBITSPOT,5520,0.992389506763228,0.992389506763228
BITGET,5520,0.9906503554991802,0.9906503554991802
BINANCE,5580,0.9850894743991593,0.9850894743991593
COINBASE,5580,0.9820754021930457,0.9820754021930457
BYBITSPOT,5580,0.9868955065179131,0.9868955065179131
BITGET,5580,0.9845903757179019,0.9845903757179019
BINANCE,5640,0.9969307151127813,0.9969307151127813
COINBASE,5640,0.9958035477678351,0.9958035477678351
BYBITSPOT,5640,0.9968788083915091,0.9968788083915091
BITGET,5640,0.9958782457615337,0.9958782457615337
BINANCE,5700,0.996461715436574,0.996461715436574
COINBASE,5700,0.9947738588046486,0.9947738588046486
BYBITSPOT,5700,0.99637461873757,0.99637461873757
BITGET,5700,0.9950413648886377,0.9950413648886377
BINANCE,5760,0.9889736325562,0.9889736325562
COINBASE,5760,0.9846230745683423,0.9846230745683423
BYBITSPOT,5760,0.9890850718365735,0.9890850718365735
BITGET,5760,0.9840297720496274,0.9840297720496274
BINANCE,5820,0.9836544838485177,0.9836544838485177
COINBASE,5820,0.9796411109537204,0.9796411109537204
BYBITSPOT,5820,0.9853622191567034,0.9853622191567034
BITGET,5820,0.9791928594122189,0.9791928594122189
BINANCE,5880,0.9873755140354469,0.9873755140354469
COINBASE,5880,0.9826393443484588,0.9826393443484588
BYBITSPOT,5880,0.9877004580671835,0.9877004580671835
BITGET,5880,0.9835015576959599,0.9835015576959599
BINANCE,5940,0.9863028290471897,0.9863028290471897
COINBASE,5940,0.9794039031411662,0.9794039031411662
BYBITSPOT,5940,0.9864265040398253,0.9864265040398253
BITGET,5940,0.9831512005973022,0.9831512005973022
BINANCE,6000,0.9876853719210722,0.9876853719210722
COINBASE,6000,0.9817438631903471,0.9817438631903471
BYBITSPOT,6000,0.9870514603908366,0.9870514603908366
BITGET,6000,0.98359043975012,0.98359043975012
BINANCE,6060,0.9928112224909796,0.9928112224909796
COINBASE,6060,0.9896254850798353,0.9896254850798353
BYBITSPOT,6060,0.9925033320534199,0.9925033320534199
BITGET,6060,0.9902117651947764,0.9902117651947764
BINANCE,6120,0.9948482899942356,0.9948482899942356
COINBASE,6120,0.9924382108104516,0.9924382108104516
BYBITSPOT,6120,0.9943501832594515,0.9943501832594515
BITGET,6120,0.9928158203818409,0.9928158203818409
BINANCE,6180,0.9942568416149019,0.9942568416149019
COINBASE,6180,0.9925636646500383,0.9925636646500383
BYBITSPOT,6180,0.9949513083398559,0.9949513083398559
BITGET,6180,0.9926950949122922,0.9926950949122922
BINANCE,6240,0.9971495793403614,0.9971495793403614
COINBASE,6240,0.996801250578732,0.996801250578732
BYBITSPOT,6240,0.9974360749131193,0.9974360749131193
BITGET,6240,0.996406544132916,0.996406544132916
BINANCE,6300,0.9949585650289264,0.9949585650289264
COINBASE,6300,0.9946750299146668,0.9946750299146668
BYBITSPOT,6300,0.995598941346584,0.995598941346584
BITGET,6300,0.9939892019017855,0.9939892019017855
BINANCE,6360,0.9965239627125951,0.9965239627125951
COINBASE,6360,0.9958177395580355,0.9958177395580355
BYBITSPOT,6360,0.9966485912577142,0.9966485912577142
BITGET,6360,0.9957075980667196,0.9957075980667196
BINANCE,6420,0.9975770603179299,0.9975770603179299
COINBASE,6420,0.9967339423789321,0.9967339423789321
BYBITSPOT,6420,0.9974546216679844,0.9974546216679844
BITGET,6420,0.9970368874611125,0.9970368874611125
BINANCE,6480,0.9981753264841613,0.9981753264841613
COINBASE,6480,0.9976727567576881,0.9976727567576881
BYBITSPOT,6480,0.9983104522695799,0.9983104522695799
BITGET,6480,0.997836800666052,0.997836800666052
BINANCE,6540,0.9970662151757145,0.9970662151757145
COINBASE,6540,0.9963662652225187,0.9963662652225187
BYBITSPOT,6540,0.997168488978364,0.997168488978364
BITGET,6540,0.9963833621918036,0.9963833621918036
BINANCE,6600,0.9909176528358664,0.9909176528358664
COINBASE,6600,0.9896920242937254,0.9896920242937254
BYBITSPOT,6600,0.9917448539217091,0.9917448539217091
BITGET,6600,0.9893974877483117,0.9893974877483117
BINANCE,6660,0.9975306505049398,0.9975306505049398
COINBASE,6660,0.9973956741535487,0.9973956741535487
BYBITSPOT,6660,0.9975319416342697,0.9975319416342697
BITGET,6660,0.9973694601951629,0.9973694601951629
BINANCE,6720,0.9977827362292789,0.9977827362292789
COINBASE,6720,0.997730787187295,0.997730787187295
BYBITSPOT,6720,0.998136662108831,0.998136662108831
BITGET,6720,0.9978340956784536,0.9978340956784536
BINANCE,6780,0.9892808998452888,0.9892808998452888
COINBASE,6780,0.9880867966271779,0.9880867966271779
BYBITSPOT,6780,0.9907811217099701,0.9907811217099701
BITGET,6780,0.9897883217160865,0.9897883217160865
BINANCE,6840,0.9880110723699684,0.9880110723699684
COINBASE,6840,0.9855209941717562,0.9855209941717562
BYBITSPOT,6840,0.9906176194696795,0.9906176194696795
