edge,jaccard,precision,recall,mutual_info,residual_windows,vmm_windows,day,frequency
COINBASE->BYBITSPOT,0.3333333333333333,0.3333333333333333,1.0,0.0,261,87,2025-09-07,10S
BINANCE->BITGET,0.36947791164658633,0.36947791164658633,1.0,0.0,249,92,2025-09-07,10S
BYBITSPOT->COINBASE,0.313588850174216,0.313588850174216,1.0,0.0,287,90,2025-09-07,10S
BITGET->BINANCE,0.43508771929824563,0.43508771929824563,1.0,0.0,285,124,2025-09-07,10S
COINBASE->BINANCE,0.4146341463414634,0.4146341463414634,1.0,0.0,287,119,2025-09-07,10S
BITGET->BYBITSPOT,0.3250883392226148,0.3250883392226148,1.0,0.0,283,92,2025-09-07,10S
BINANCE->BYBITSPOT,0.24324324324324326,0.24324324324324326,1.0,0.0,259,63,2025-09-07,10S
BINANCE->COINBASE,0.3192982456140351,0.3192982456140351,1.0,0.0,285,91,2025-09-07,10S
COINBASE->BITGET,0.35856573705179284,0.35856573705179284,1.0,0.0,251,90,2025-09-07,10S
BYBITSPOT->BINANCE,0.47038327526132406,0.47038327526132406,1.0,0.0,287,135,2025-09-07,10S
BITGET->COINBASE,0.3017543859649123,0.3017543859649123,1.0,0.0,285,86,2025-09-07,10S
BYBITSPOT->BITGET,0.4657039711191336,0.4657039711191336,1.0,0.0,277,129,2025-09-07,10S
COINBASE->BYBITSPOT,0.46360153256704983,0.46360153256704983,1.0,0.0,261,121,2025-09-07,15S
BINANCE->BITGET,0.46586345381526106,0.46586345381526106,1.0,0.0,249,116,2025-09-07,15S
BYBITSPOT->COINBASE,0.44947735191637633,0.44947735191637633,1.0,0.0,287,129,2025-09-07,15S
BITGET->BINANCE,0.5368421052631579,0.5368421052631579,1.0,0.0,285,153,2025-09-07,15S
COINBASE->BINANCE,0.5121951219512195,0.5121951219512195,1.0,0.0,287,147,2025-09-07,15S
BITGET->BYBITSPOT,0.35815602836879434,0.35815602836879434,1.0,0.0,282,101,2025-09-07,15S
BINANCE->BYBITSPOT,0.41312741312741313,0.41312741312741313,1.0,0.0,259,107,2025-09-07,15S
BINANCE->COINBASE,0.47719298245614034,0.47719298245614034,1.0,0.0,285,136,2025-09-07,15S
COINBASE->BITGET,0.47808764940239046,0.47808764940239046,1.0,0.0,251,120,2025-09-07,15S
BYBITSPOT->BINANCE,0.5993031358885017,0.5993031358885017,1.0,0.0,287,172,2025-09-07,15S
BITGET->COINBASE,0.397887323943662,0.397887323943662,1.0,0.0,284,113,2025-09-07,15S
BYBITSPOT->BITGET,0.5631768953068592,0.5631768953068592,1.0,0.0,277,156,2025-09-07,15S
COINBASE->BYBITSPOT,0.4482758620689655,0.4482758620689655,1.0,0.0,261,117,2025-09-07,30S
BINANCE->BITGET,0.46938775510204084,0.46938775510204084,1.0,0.0,245,115,2025-09-07,30S
BYBITSPOT->COINBASE,0.49477351916376305,0.49477351916376305,1.0,0.0,287,142,2025-09-07,30S
BITGET->BINANCE,0.4032258064516129,0.4032258064516129,1.0,0.0,248,100,2025-09-07,30S
COINBASE->BINANCE,0.4808362369337979,0.4808362369337979,1.0,0.0,287,138,2025-09-07,30S
BITGET->BYBITSPOT,0.44871794871794873,0.44871794871794873,1.0,0.0,234,105,2025-09-07,30S
BINANCE->BYBITSPOT,0.40540540540540543,0.40540540540540543,1.0,0.0,259,105,2025-09-07,30S
BINANCE->COINBASE,0.45614035087719296,0.45614035087719296,1.0,0.0,285,130,2025-09-07,30S
COINBASE->BITGET,0.46963562753036436,0.46963562753036436,1.0,0.0,247,116,2025-09-07,30S
BYBITSPOT->BINANCE,0.5226480836236934,0.5226480836236934,1.0,0.0,287,150,2025-09-07,30S
BITGET->COINBASE,0.4380165289256198,0.4380165289256198,1.0,0.0,242,106,2025-09-07,30S
BYBITSPOT->BITGET,0.4881889763779528,0.4881889763779528,1.0,0.0,254,124,2025-09-07,30S
