event_id,date,venue_i,venue_j,n_pre,n_post,pre_minutes,post_minutes,shrunk,reason
16,20250901,BITGET,BINANCE,100,163,15.0,15.0,False,SUFFICIENT
16,20250901,BINANCE,BITGET,107,171,15.0,15.0,False,SUFFICIENT
16,20250901,BITGET,COINBASE,100,163,15.0,15.0,False,SUFFICIENT
16,20250901,COINBASE,BITGET,107,171,15.0,15.0,False,SUFFICIENT
16,20250901,BITGET,BYBITSPOT,99,163,15.0,15.0,False,SUFFICIENT
16,20250901,BYBITSPOT,BITGET,105,169,15.0,15.0,False,SUFFICIENT
17,20250901,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
17,20250901,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
17,20250901,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
17,20250901,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
17,20250901,BITGET,BYBITSPOT,174,180,15.0,15.0,False,SUFFICIENT
17,20250901,BYBITSPOT,BITGET,168,180,15.0,15.0,False,SUFFICIENT
18,20250901,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
18,20250901,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
18,20250901,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
18,20250901,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
18,20250901,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
18,20250901,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
19,20250901,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
19,20250901,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
19,20250901,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
19,20250901,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
19,20250901,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
19,20250901,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
20,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
20,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
20,20250902,BINANCE,BYBITSPOT,179,180,15.0,15.0,False,SUFFICIENT
20,20250902,BYBITSPOT,BINANCE,179,178,15.0,15.0,False,SUFFICIENT
20,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
20,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
21,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
21,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
21,20250902,BINANCE,BYBITSPOT,168,171,15.0,15.0,False,SUFFICIENT
21,20250902,BYBITSPOT,BINANCE,158,160,15.0,15.0,False,SUFFICIENT
21,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
21,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
22,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
22,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
22,20250902,BINANCE,BYBITSPOT,167,172,15.0,15.0,False,SUFFICIENT
22,20250902,BYBITSPOT,BINANCE,153,164,15.0,15.0,False,SUFFICIENT
22,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
22,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
23,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
23,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
23,20250902,BINANCE,BYBITSPOT,174,177,15.0,15.0,False,SUFFICIENT
23,20250902,BYBITSPOT,BINANCE,166,173,15.0,15.0,False,SUFFICIENT
23,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
23,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
24,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
24,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
24,20250902,BINANCE,BYBITSPOT,175,180,15.0,15.0,False,SUFFICIENT
24,20250902,BYBITSPOT,BINANCE,167,177,15.0,15.0,False,SUFFICIENT
24,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
24,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
25,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
25,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
25,20250902,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
25,20250902,BYBITSPOT,BINANCE,177,180,15.0,15.0,False,SUFFICIENT
25,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
25,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
26,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
26,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
26,20250902,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
26,20250902,BYBITSPOT,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
26,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
26,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
27,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
27,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
27,20250902,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
27,20250902,BYBITSPOT,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
27,20250902,BINANCE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
27,20250902,BITGET,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
28,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
28,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
28,20250902,COINBASE,BYBITSPOT,179,180,15.0,15.0,False,SUFFICIENT
28,20250902,BYBITSPOT,COINBASE,178,179,15.0,15.0,False,SUFFICIENT
28,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
28,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
29,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
29,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
29,20250902,COINBASE,BYBITSPOT,168,171,15.0,15.0,False,SUFFICIENT
29,20250902,BYBITSPOT,COINBASE,158,160,15.0,15.0,False,SUFFICIENT
29,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
29,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
30,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
30,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
30,20250902,COINBASE,BYBITSPOT,167,172,15.0,15.0,False,SUFFICIENT
30,20250902,BYBITSPOT,COINBASE,152,164,15.0,15.0,False,SUFFICIENT
30,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
30,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
31,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
31,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
31,20250902,COINBASE,BYBITSPOT,174,177,15.0,15.0,False,SUFFICIENT
31,20250902,BYBITSPOT,COINBASE,166,173,15.0,15.0,False,SUFFICIENT
31,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
31,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
32,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
32,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
32,20250902,COINBASE,BYBITSPOT,175,180,15.0,15.0,False,SUFFICIENT
32,20250902,BYBITSPOT,COINBASE,167,177,15.0,15.0,False,SUFFICIENT
32,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
32,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
33,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
33,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
33,20250902,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
33,20250902,BYBITSPOT,COINBASE,177,180,15.0,15.0,False,SUFFICIENT
33,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
33,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
34,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
34,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
34,20250902,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
34,20250902,BYBITSPOT,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
34,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
34,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
35,20250902,COINBASE,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
35,20250902,BINANCE,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
35,20250902,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
35,20250902,BYBITSPOT,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
35,20250902,COINBASE,BITGET,180,180,15.0,15.0,False,SUFFICIENT
35,20250902,BITGET,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
36,20250902,BYBITSPOT,BINANCE,179,178,15.0,15.0,False,SUFFICIENT
36,20250902,BINANCE,BYBITSPOT,179,180,15.0,15.0,False,SUFFICIENT
36,20250902,BYBITSPOT,COINBASE,178,179,15.0,15.0,False,SUFFICIENT
36,20250902,COINBASE,BYBITSPOT,179,180,15.0,15.0,False,SUFFICIENT
36,20250902,BYBITSPOT,BITGET,179,178,15.0,15.0,False,SUFFICIENT
36,20250902,BITGET,BYBITSPOT,179,180,15.0,15.0,False,SUFFICIENT
37,20250902,BYBITSPOT,BINANCE,158,160,15.0,15.0,False,SUFFICIENT
37,20250902,BINANCE,BYBITSPOT,168,171,15.0,15.0,False,SUFFICIENT
37,20250902,BYBITSPOT,COINBASE,158,160,15.0,15.0,False,SUFFICIENT
37,20250902,COINBASE,BYBITSPOT,168,171,15.0,15.0,False,SUFFICIENT
37,20250902,BYBITSPOT,BITGET,158,160,15.0,15.0,False,SUFFICIENT
37,20250902,BITGET,BYBITSPOT,168,171,15.0,15.0,False,SUFFICIENT
38,20250902,BYBITSPOT,BINANCE,153,164,15.0,15.0,False,SUFFICIENT
38,20250902,BINANCE,BYBITSPOT,167,172,15.0,15.0,False,SUFFICIENT
38,20250902,BYBITSPOT,COINBASE,153,164,15.0,15.0,False,SUFFICIENT
38,20250902,COINBASE,BYBITSPOT,167,172,15.0,15.0,False,SUFFICIENT
38,20250902,BYBITSPOT,BITGET,153,165,15.0,15.0,False,SUFFICIENT
38,20250902,BITGET,BYBITSPOT,167,172,15.0,15.0,False,SUFFICIENT
39,20250902,BYBITSPOT,BINANCE,166,173,15.0,15.0,False,SUFFICIENT
39,20250902,BINANCE,BYBITSPOT,174,177,15.0,15.0,False,SUFFICIENT
39,20250902,BYBITSPOT,COINBASE,166,173,15.0,15.0,False,SUFFICIENT
39,20250902,COINBASE,BYBITSPOT,174,177,15.0,15.0,False,SUFFICIENT
39,20250902,BYBITSPOT,BITGET,166,173,15.0,15.0,False,SUFFICIENT
39,20250902,BITGET,BYBITSPOT,174,177,15.0,15.0,False,SUFFICIENT
40,20250902,BYBITSPOT,BINANCE,167,177,15.0,15.0,False,SUFFICIENT
40,20250902,BINANCE,BYBITSPOT,175,180,15.0,15.0,False,SUFFICIENT
40,20250902,BYBITSPOT,COINBASE,167,177,15.0,15.0,False,SUFFICIENT
40,20250902,COINBASE,BYBITSPOT,175,180,15.0,15.0,False,SUFFICIENT
40,20250902,BYBITSPOT,BITGET,167,177,15.0,15.0,False,SUFFICIENT
40,20250902,BITGET,BYBITSPOT,175,180,15.0,15.0,False,SUFFICIENT
41,20250902,BYBITSPOT,BINANCE,177,180,15.0,15.0,False,SUFFICIENT
41,20250902,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
41,20250902,BYBITSPOT,COINBASE,177,180,15.0,15.0,False,SUFFICIENT
41,20250902,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
41,20250902,BYBITSPOT,BITGET,177,180,15.0,15.0,False,SUFFICIENT
41,20250902,BITGET,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
42,20250902,BYBITSPOT,BINANCE,180,180,15.0,15.0,False,SUFFICIENT
42,20250902,BINANCE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
42,20250902,BYBITSPOT,COINBASE,180,180,15.0,15.0,False,SUFFICIENT
42,20250902,COINBASE,BYBITSPOT,180,180,15.0,15.0,False,SUFFICIENT
42,20250902,BYBITSPOT,BITGET,180,180,15.0,15.0,False,SUFFICIENT
