IC_1,IC_2,IC_3,IC_4,second
0.7135631276802096,0.11781726450498499,-0.2621967157419523,-0.16334622426968337,152
1.014453505712306,2.1695898925068726,0.4313072527817175,-0.06118842796941211,153
0.2003636983869423,2.3380869521393346,-0.14711089393528556,-0.07207893077593801,154
0.22398270763560785,2.6830825028814123,-0.24870099572263868,-0.09351319894520535,155
0.022204523919347973,0.04451124478472022,0.25654171534891423,-0.005180037290809418,156
-0.38660743747926085,-3.860783356465262,-0.7386592401039646,0.14716796196750473,157
-0.07343581143789833,0.1265580787947161,-1.3854400755086915,0.029609731350749888,158
0.40897955465556923,-2.4952348986181807,0.1374393477467627,1.9036777907455418,159
-2.1394512259795886,0.023556494549216444,-1.5081468835014684,-0.012020595744722924,160
-5.077445188996985,-0.23859950423565837,0.5092319036143951,-0.13272276521657767,161
0.19213348284748846,2.238009854057814,-0.13678080280476487,-0.06899350530524818,162
4.554153139573697,0.33092390194782595,-0.6140679945965712,0.11171437980335364,163
3.484377614931905,0.09453297169722336,2.708371928746209,0.0020054268920806297,164
0.5219263192084567,2.0870325905693674,-0.9876450089452627,-0.035284490336065524,165
-0.2535996226713496,-3.040009643428266,0.22175235770756205,0.09798595253822236,166
0.007691866583162052,0.05696119681655173,0.007384087513726429,9.903235291577885e-05,167
-0.0011543742880987336,-4.51066007133471,-0.37866272293283665,1.9649839147739185,168
0.3234298864363329,3.2813088793406666,2.5800821956293443,-0.15646777366402234,169
2.245010278788985,0.31791374930094807,-1.844255926416742,-0.8830022238419175,170
-0.025250399352411534,0.08531498823911313,-0.548459214374618,-0.00044964033236569276,171
3.065205721352349,0.2153484993109583,0.07674997366975919,0.06422641190539889,172
-0.09481384037551366,-1.1674519873698825,0.09501864022012986,0.05103778501575713,173
0.00808944863137607,0.05662012368884549,0.014209894649395646,-4.5590597450684664e-05,174
0.10677761830270385,0.03232067424865378,0.5593239648105536,0.0021532579651377115,175
1.0050746462533942,4.021021845359589,-0.23061463027007456,-0.11059814184841825,176
-0.015374169508658402,-1.0401359301452016,1.1920765071372281,0.009444702614905431,177
1.1595498270259352,2.283595216009785,-0.5802896168608724,-0.03722837565897165,178
1.75521531266547,4.200740705858509,0.9470307654944745,-0.1403389949193111,179
-0.6593022991914377,0.14533621838083963,-2.324695090164449,0.03809961382613712,180
-0.2730938574296828,-3.2875246444750235,0.2807429485524058,0.08024001044780439,181
-0.06506390793334867,0.11937608623248021,-1.2417087402102522,0.02656439922257605,182
3.4537248727547047,3.34249855317037,2.9053371442664244,-0.11801974848806354,183
0.5527526703682488,-2.1360418760670674,0.20175404677452305,0.09772014810867125,184
0.20505585286512285,-0.11244481559158767,3.386068372342771,-0.05916155214194788,185
0.18539249451474357,2.2036019652694914,-0.1956311817446389,-0.06650705414763862,186
-1.6085261690487354,0.06305716016931782,0.01658518172688368,-1.9802369145914844,187
2.932578770134335,0.3292819752468176,-2.203187999224583,0.11253668825557635,188
-0.39682702744876636,-1.565177316698625,0.36103865635326504,-5.5898651400093184,189
4.334878659693646,0.20539193151626214,1.381404719995837,0.06251081401298551,190
-0.47480444899190655,-5.26017798963224,-0.16524457100076795,0.18051176972586733,191
0.3090113156399617,1.5837246794759556,-2.5454590870495437,-1.38516311012747,192
-0.29655893764136415,-6.699482025579707,0.49112912395254793,0.2317532175197952,193
-0.061277012510564874,0.055599182634456755,-0.04732750481380842,0.01215176372229009,194
-0.16961848783455566,-2.049671701852188,0.16000378667518977,0.0665286499102229,195
0.9744027985165588,-2.6162990201270464,0.25177101094051335,0.11099214126529104,196
-0.004474865069823124,0.06955095106865807,0.021856008787040353,-0.2834566123956036,197
0.4054184436114371,-1.8558819778168125,-1.4827868476253228,0.12534106253492405,198
1.3384139746699626,0.12809696886904803,0.07178917012538051,0.027099840522134523,199
0.00842832699892052,0.05623583252153569,0.010316826057330648,0.0123520565699882,200
0.13856701654858897,1.5645867892285685,-0.028467935189523137,-0.06141501339783165,201
0.26100650167179085,3.167089853018183,0.7105464685691736,-0.1330267278981111,202
0.06929152029615271,0.21657428828080333,-0.2893116032181897,0.0031220976408084604,203
