venue_i,venue_j,date,lag,fake_t0,beta_delta,se_delta,t_stat,p_delta,significant
BITGET,BYBITSPOT,2025-09-01,3,2025-09-01 12:00:00,0.004736376590504479,0.01573738327868747,0.3009634134614216,0.7634462038519141,False
BITGET,BYBITSPOT,2025-09-01,6,2025-09-01 12:00:00,0.018817300179370833,0.015740331524942735,1.1954830906548706,0.2319156078814284,False
BINANCE,COINBASE,2025-09-02,1,2025-09-02 12:00:00,-0.07512844829962582,0.014156080821167373,-5.307150280414294,1.1273691935542729e-07,True
BINANCE,COINBASE,2025-09-02,3,2025-09-02 12:00:00,0.006740228389567166,0.014206483513764983,0.47444734532908206,0.6351869781520683,False
BINANCE,COINBASE,2025-09-02,6,2025-09-02 12:00:00,0.0022083387363802855,0.014204327289816411,0.15546943486465017,0.8764530786160294,False
BINANCE,BYBITSPOT,2025-09-02,1,2025-09-02 12:00:00,0.004147236624041728,0.01527335978620154,0.27153400968059954,0.7859837477308651,False
BINANCE,BYBITSPOT,2025-09-02,3,2025-09-02 12:00:00,-0.021039091314551273,0.01527478333853319,-1.3773741236300652,0.16841532269822057,False
BINANCE,BYBITSPOT,2025-09-02,6,2025-09-02 12:00:00,-0.017325152142228822,0.015276535240335162,-1.13410219461836,0.2567681925462826,False
BINANCE,BITGET,2025-09-02,1,2025-09-02 12:00:00,-0.10820817812100877,0.014721585934383287,-7.350307134252503,2.0672352718520415e-13,True
BINANCE,BITGET,2025-09-02,3,2025-09-02 12:00:00,-0.020905252831213736,0.014753746383949589,-1.416945383713271,0.15651710236067484,False
BINANCE,BITGET,2025-09-02,6,2025-09-02 12:00:00,0.029284277738579487,0.014871413718294459,1.969165695562263,0.04895018228171,True
COINBASE,BINANCE,2025-09-02,1,2025-09-02 12:00:00,-0.043965044418410607,0.01636155249198789,-2.687094909846722,0.007214594875962987,True
COINBASE,BINANCE,2025-09-02,3,2025-09-02 12:00:00,0.028674455961450955,0.016385014731767244,1.750041512373923,0.08012903231582413,False
COINBASE,BINANCE,2025-09-02,6,2025-09-02 12:00:00,-0.027353587557270524,0.016383694567249127,-1.6695616147501995,0.09502438624856113,False
COINBASE,BYBITSPOT,2025-09-02,1,2025-09-02 12:00:00,-0.027188143589428983,0.01640431082045491,-1.6573779835680427,0.09746218457209732,False
COINBASE,BYBITSPOT,2025-09-02,3,2025-09-02 12:00:00,-0.01406031513060288,0.01640757219297297,-0.8569406226123221,0.39149021088476665,False
COINBASE,BYBITSPOT,2025-09-02,6,2025-09-02 12:00:00,-0.01474652703885514,0.016409043728455253,-0.898682902117135,0.3688347733378152,False
COINBASE,BITGET,2025-09-02,1,2025-09-02 12:00:00,-0.10965328723750485,0.015951376662039992,-6.874220925297961,6.448841460837684e-12,True
COINBASE,BITGET,2025-09-02,3,2025-09-02 12:00:00,-0.016844894622325655,0.01600414747171894,-1.0525330794465875,0.2925699564127393,False
COINBASE,BITGET,2025-09-02,6,2025-09-02 12:00:00,0.028823413060155297,0.01601421757220388,1.7998639602714361,0.07189979678197034,False
