session,predictor,coefficient,r2,n_obs
Europe,coinbase_spread_change,-0.00022057177473384625,0.30718488207511874,16204
Europe,coinbase_basis,0.00032884041369586717,0.30718488207511874,16204
Europe,kraken_return_0,-0.001627614667198135,0.30718488207511874,16204
Europe,kraken_return_1,-0.0007222450185202786,0.30718488207511874,16204
Europe,kraken_return_5,-1.9228093994974723e-05,0.30718488207511874,16204
Europe,kraken_spread,-8.247216157875522e-05,0.30718488207511874,16204
Europe,kraken_spread_change,6.0157131193312094e-05,0.30718488207511874,16204
Europe,kraken_basis,2.267506992755448e-06,0.30718488207511874,16204
Europe,okx_return_0,-0.0016234082271240652,0.30718488207511874,16204
Europe,okx_return_1,-0.0008020059664718402,0.30718488207511874,16204
Europe,okx_return_5,-6.0931609636684853e-05,0.30718488207511874,16204
Europe,okx_spread,7.4640420865891195e-06,0.30718488207511874,16204
Europe,okx_spread_change,-0.00011766365638151941,0.30718488207511874,16204
Europe,okx_basis,0.0001532510383761953,0.30718488207511874,16204
Europe,bybit_return_0,-0.0022391749129501656,0.30718488207511874,16204
Europe,bybit_return_1,-0.0008932043080881454,0.30718488207511874,16204
Europe,bybit_return_5,2.537948163811536e-06,0.30718488207511874,16204
Europe,bybit_spread,2.95182145061282e-05,0.30718488207511874,16204
Europe,bybit_spread_change,-9.211887822407097e-05,0.30718488207511874,16204
Europe,bybit_basis,-0.00013956894701873013,0.30718488207511874,16204
Europe,dispersion,-0.0009454111440275688,0.30718488207511874,16204
US,binance_return_0,-0.00012053338877462235,0.024794480672936547,3600
US,binance_return_1,-0.00015790268218556926,0.024794480672936547,3600
US,binance_return_5,0.00015697851817077712,0.024794480672936547,3600
US,binance_spread,-1.124744453683928e-05,0.024794480672936547,3600
US,binance_spread_change,1.9682944349033185e-05,0.024794480672936547,3600
US,binance_basis,0.0002966946839269937,0.024794480672936547,3600
US,coinbase_return_0,0.00013996463211269312,0.024794480672936547,3600
US,coinbase_return_1,6.626666147925125e-05,0.024794480672936547,3600
US,coinbase_return_5,-0.00015241560202043704,0.024794480672936547,3600
US,coinbase_spread,-2.7458704494876163e-05,0.024794480672936547,3600
US,coinbase_spread_change,1.9730737151702593e-05,0.024794480672936547,3600
US,coinbase_basis,0.0001851605009064116,0.024794480672936547,3600
US,kraken_return_0,-0.00013674471047737282,0.024794480672936547,3600
US,kraken_return_1,-7.61229746779877e-05,0.024794480672936547,3600
US,kraken_return_5,0.00016117983059405234,0.024794480672936547,3600
US,kraken_spread,-6.9571583134696e-06,0.024794480672936547,3600
US,kraken_spread_change,1.74850596117509e-05,0.024794480672936547,3600
US,kraken_basis,-0.00033158536520257577,0.024794480672936547,3600
US,okx_return_0,4.25001513958685e-05,0.024794480672936547,3600
US,okx_return_1,-2.589806332301263e-06,0.024794480672936547,3600
US,okx_return_5,0.0002221224159253691,0.024794480672936547,3600
US,okx_spread,-2.1800711313729277e-05,0.024794480672936547,3600
US,okx_spread_change,2.090250769070103e-05,0.024794480672936547,3600
US,okx_basis,-0.00013761515909015867,0.024794480672936547,3600
US,bybit_return_0,7.682180835547716e-05,0.024794480672936547,3600
US,bybit_return_1,-0.0002513889822515484,0.024794480672936547,3600
US,bybit_return_5,-0.0001318455791112464,0.024794480672936547,3600
US,bybit_spread,1.6320510653240118e-05,0.024794480672936547,3600
US,bybit_spread_change,-1.6189621855786242e-05,0.024794480672936547,3600
US,bybit_basis,-8.089485264717517e-05,0.024794480672936547,3600
US,dispersion,-0.0006731898056241621,0.024794480672936547,3600
