ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:04:35.971156,bybit,43,,,0,0
2025-09-28T00:04:35.971326,binance,28,1759010675016,1759010675125,0,0
2025-09-28T00:04:35.971326,coinbase,59,,,0,0
2025-09-28T00:04:35.971326,kraken,7,,,0,0
2025-09-28T00:04:35.971326,okx,131,,,0,0
2025-09-28T00:04:35.971326,bybit,43,,,0,0
2025-09-28T00:04:35.971480,binance,28,1759010675016,1759010675125,0,0
2025-09-28T00:04:35.971480,coinbase,59,,,0,0
2025-09-28T00:04:35.971480,kraken,7,,,0,0
2025-09-28T00:04:35.971480,okx,131,,,0,0
2025-09-28T00:04:35.971480,bybit,43,,,0,0
2025-09-28T00:04:35.971623,binance,28,1759010675016,1759010675125,0,0
2025-09-28T00:04:35.971623,coinbase,59,,,0,0
2025-09-28T00:04:35.971623,kraken,7,,,0,0
2025-09-28T00:04:35.971623,okx,131,,,0,0
2025-09-28T00:04:35.971623,bybit,43,,,0,0
2025-09-28T00:04:40.973667,binance,33,1759010680014,1759010680122,0,0
2025-09-28T00:04:40.973667,coinbase,67,,,0,0
2025-09-28T00:04:40.973667,kraken,7,,,0,0
2025-09-28T00:04:40.973667,okx,152,,,0,0
2025-09-28T00:04:40.973667,bybit,50,,,0,0
2025-09-28T00:04:40.976114,binance,33,1759010680014,1759010680122,0,0
2025-09-28T00:04:40.976114,coinbase,67,,,0,0
2025-09-28T00:04:40.976114,kraken,7,,,0,0
2025-09-28T00:04:40.976114,okx,152,,,0,0
2025-09-28T00:04:40.976114,bybit,50,,,0,0
2025-09-28T00:04:40.977206,binance,33,1759010680014,1759010680122,0,0
2025-09-28T00:04:40.977206,coinbase,67,,,0,0
2025-09-28T00:04:40.977206,kraken,7,,,0,0
2025-09-28T00:04:40.977206,okx,152,,,0,0
2025-09-28T00:04:40.977206,bybit,50,,,0,0
2025-09-28T00:04:40.977834,binance,33,1759010680014,1759010680122,0,0
2025-09-28T00:04:40.977834,coinbase,67,,,0,0
2025-09-28T00:04:40.977834,kraken,7,,,0,0
2025-09-28T00:04:40.977834,okx,152,,,0,0
2025-09-28T00:04:40.977834,bybit,50,,,0,0
2025-09-28T00:04:40.978339,binance,33,1759010680014,1759010680122,0,0
2025-09-28T00:04:40.978339,coinbase,67,,,0,0
2025-09-28T00:04:40.978339,kraken,7,,,0,0
2025-09-28T00:04:40.978339,okx,152,,,0,0
2025-09-28T00:04:40.978339,bybit,50,,,0,0
2025-09-28T00:04:45.985584,binance,38,1759010685017,1759010685124,0,0
2025-09-28T00:04:45.985584,coinbase,111,,,0,0
2025-09-28T00:04:45.985584,kraken,10,,,0,0
2025-09-28T00:04:45.985584,okx,178,,,0,0
2025-09-28T00:04:45.985584,bybit,59,,,0,0
2025-09-28T00:04:45.987185,binance,38,1759010685017,1759010685124,0,0
2025-09-28T00:04:45.987185,coinbase,111,,,0,0
2025-09-28T00:04:45.987185,kraken,10,,,0,0
2025-09-28T00:04:45.987185,okx,178,,,0,0
2025-09-28T00:04:45.987185,bybit,59,,,0,0
2025-09-28T00:04:45.987710,binance,38,1759010685017,1759010685124,0,0
2025-09-28T00:04:45.987710,coinbase,111,,,0,0
