venue,t_hours,correlation,p_value,n_observations
BINANCE,13,0.2330523498536146,0.1374616519311157,42
BINANCE,14,-0.005927667149288627,0.9702803856367241,42
BINANCE,15,0.049658375839168455,0.7548097842977186,42
BINANCE,16,0.04117741728718866,0.7982453797307917,41
BINANCE,17,-0.28725622204204937,0.06859940930922068,41
BINANCE,18,0.20157404523285546,0.2062988862545781,41
BINANCE,19,-0.02174287024320565,0.8926651385608607,41
BINANCE,20,-0.0129288195101004,0.936889960944698,40
BINANCE,21,0.14295887636696591,0.37885224404268775,40
BINANCE,22,0.1476846118183686,0.3631275091320701,40
BINANCE,23,0.10806391227203557,0.506862045269244,40
BINANCE,24,0.3380179521112065,0.03532325421985497,39
BYBITSPOT,1,-0.2080260913643284,0.17540418373099664,44
BYBITSPOT,2,-0.0459701305040463,0.7669936946236695,44
BYBITSPOT,3,-0.16325592326655344,0.28966075299174115,44
BYBITSPOT,4,-0.1022393470748428,0.5141524680696603,43
BYBITSPOT,5,0.026341559441422187,0.8668411717941715,43
BYBITSPOT,6,-0.1454513146373332,0.3520373030241576,43
BYBITSPOT,7,0.024971123027618385,0.8737113079455319,43
BYBITSPOT,8,-0.1162446690565791,0.45788888021317975,43
BYBITSPOT,9,-0.2304175747022146,0.13714413083449867,43
BYBITSPOT,10,0.14466926099449923,0.354660407085958,43
BYBITSPOT,11,-0.21933949723692608,0.15759733675653043,43
BYBITSPOT,12,0.22616545050940678,0.14474776420447324,43
BYBITSPOT,13,0.1403144240007375,0.3754587286837147,42
BYBITSPOT,14,-0.20360842430688034,0.19590432644492234,42
BYBITSPOT,15,-0.2669948968405965,0.0873971513527694,42
BYBITSPOT,16,-0.05200882925462347,0.7467414951271909,41
BYBITSPOT,17,-0.11203821293716944,0.4855465477822375,41
BYBITSPOT,18,0.0023543669977890464,0.9883440400280706,41
BYBITSPOT,19,-0.14733999480416024,0.35794327094353134,41
BYBITSPOT,20,-0.08548332595658446,0.5999573293044602,40
BYBITSPOT,21,-0.13034292964354977,0.4227559578786374,40
BYBITSPOT,22,0.09802679268200327,0.5473281429194549,40
BYBITSPOT,23,-0.15575055734738774,0.33721091308852047,40
BYBITSPOT,24,-0.11821402297232782,0.47353065300840025,39
BITGET,1,-0.004360444851369494,0.9775892900129262,44
BITGET,2,-0.11462914977615864,0.45874096323995306,44
BITGET,3,0.052837580137793536,0.7333798344443846,44
BITGET,4,-0.025106661940961363,0.8730314205473889,43
BITGET,5,-0.09893107680164001,0.5279297116622104,43
BITGET,6,0.26143850723745193,0.09037095455906002,43
BITGET,7,-0.031822108678935826,0.839468187211314,43
BITGET,8,-0.08392798832458805,0.5925938881301179,43
BITGET,9,0.047306574025465835,0.7632332789873865,43
BITGET,10,0.23725407965840975,0.12554694150973286,43
BITGET,11,-0.02202524919561087,0.8885097100111666,43
BITGET,12,-0.15873535066572267,0.3093012142298984,43
BITGET,13,-0.07057659921610002,0.656941473625039,42
BITGET,14,0.0807072341094547,0.6113915496588258,42
BITGET,15,-0.012111291618859444,0.9393203404672751,42
BITGET,16,0.22331459871101075,0.16047175827435864,41
BITGET,17,0.26337529907292423,0.09615389506581554,41
BITGET,18,0.24744019060539174,0.1188168895945594,41
BITGET,19,-0.05537978885916676,0.7309203462102493,41
BITGET,20,-0.03341164118196269,0.8378299323548403,40
BITGET,21,0.2749172620285064,0.08600639112035277,40
BITGET,22,0.006312347276545033,0.9691637148860642,40
BITGET,23,0.2442376372638364,0.1288081036110448,40
BITGET,24,-0.012117184731633963,0.9416371177824274,39
