event_id,date,venue_event,venue_i,venue_j,lag,beta_pre,beta_post,delta_beta,p_delta,n_pre,n_post,insufficient,notes
0,20250901,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,49,71,True,LOW_N
0,20250901,BINANCE,BITGET,BINANCE,0,nan,nan,nan,nan,49,63,True,LOW_N
1,20250901,BINANCE,COINBASE,BINANCE,0,nan,nan,nan,nan,49,60,True,LOW_N
1,20250901,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,41,68,True,LOW_N
1,20250901,BINANCE,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,42,68,True,LOW_N
3,20250901,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,70,46,True,LOW_N
4,20250901,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,61,44,True,LOW_N
4,20250901,BINANCE,COINBASE,BINANCE,0,nan,nan,nan,nan,61,44,True,LOW_N
4,20250901,BINANCE,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,72,48,True,LOW_N
5,20250901,BITGET,BITGET,BINANCE,0,nan,nan,nan,nan,49,63,True,LOW_N
5,20250901,BITGET,BINANCE,BITGET,0,nan,nan,nan,nan,49,71,True,LOW_N
5,20250901,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,47,64,True,LOW_N
5,20250901,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,48,58,True,LOW_N
5,20250901,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,49,61,True,LOW_N
8,20250901,BITGET,COINBASE,BITGET,0,nan,nan,nan,nan,70,41,True,LOW_N
8,20250901,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,83,49,True,LOW_N
9,20250901,BITGET,BITGET,COINBASE,0,nan,nan,nan,nan,65,44,True,LOW_N
9,20250901,BITGET,BITGET,BYBITSPOT,0,nan,nan,nan,nan,63,43,True,LOW_N
9,20250901,BITGET,BYBITSPOT,BITGET,0,nan,nan,nan,nan,57,47,True,LOW_N
10,20250901,BYBITSPOT,BYBITSPOT,BITGET,0,nan,nan,nan,nan,49,61,True,LOW_N
10,20250901,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,48,58,True,LOW_N
11,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,42,68,True,LOW_N
11,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,41,68,True,LOW_N
13,20250901,BYBITSPOT,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,71,48,True,LOW_N
13,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,60,42,True,LOW_N
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,72,48,True,LOW_N
14,20250901,BYBITSPOT,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,62,41,True,LOW_N
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,48,52,True,LOW_N
14,20250901,BYBITSPOT,BYBITSPOT,BITGET,0,nan,nan,nan,nan,57,47,True,LOW_N
14,20250901,BYBITSPOT,BITGET,BYBITSPOT,0,nan,nan,nan,nan,63,43,True,LOW_N
15,20250901,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,47,64,True,LOW_N
16,20250901,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,49,60,True,LOW_N
18,20250901,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,62,46,True,LOW_N
18,20250901,COINBASE,COINBASE,BITGET,0,nan,nan,nan,nan,70,41,True,LOW_N
19,20250901,COINBASE,COINBASE,BINANCE,0,nan,nan,nan,nan,61,44,True,LOW_N
19,20250901,COINBASE,BINANCE,COINBASE,0,nan,nan,nan,nan,61,44,True,LOW_N
19,20250901,COINBASE,COINBASE,BYBITSPOT,0,nan,nan,nan,nan,48,52,True,LOW_N
19,20250901,COINBASE,BYBITSPOT,COINBASE,0,nan,nan,nan,nan,62,41,True,LOW_N
19,20250901,COINBASE,BITGET,COINBASE,0,nan,nan,nan,nan,65,44,True,LOW_N
20,20250902,BINANCE,BINANCE,COINBASE,0,nan,nan,nan,nan,57,49,True,LOW_N
20,20250902,BINANCE,COINBASE,BINANCE,0,nan,nan,nan,nan,62,44,True,LOW_N
20,20250902,BINANCE,BINANCE,BYBITSPOT,0,nan,nan,nan,nan,56,48,True,LOW_N
23,20250902,BINANCE,BYBITSPOT,BINANCE,0,nan,nan,nan,nan,49,54,True,LOW_N
24,20250902,BINANCE,BINANCE,BITGET,0,nan,nan,nan,nan,64,39,True,LOW_N
24,20250902,BINANCE,BITGET,BINANCE,0,nan,nan,nan,nan,64,39,True,LOW_N
