venue,date,anchor_price,anchor_type,t0,pre_start,pre_end,post_start,post_end,pre_count,post_count,session,wash_tercile
BITGET,20250902,110500.0,Round,2025-09-02 03:16:20.917000,2025-09-02 03:01:20.917000,2025-09-02 03:16:20.917000,2025-09-02 03:16:20.917000,2025-09-02 03:31:20.917000,4136,4373,Asia,Low
BITGET,20250902,111000.0,Round,2025-09-02 13:46:19.820000,2025-09-02 13:31:19.820000,2025-09-02 13:46:19.820000,2025-09-02 13:46:19.820000,2025-09-02 14:01:19.820000,16070,13035,EU,Medium
BITGET,20250902,111500.0,Round,2025-09-02 14:00:38.039000,2025-09-02 13:45:38.039000,2025-09-02 14:00:38.039000,2025-09-02 14:00:38.039000,2025-09-02 14:15:38.039000,13823,10814,EU,Medium
BINANCE,20250903,111000.0,Round,2025-09-03 01:23:51.634000,2025-09-03 01:08:51.634000,2025-09-03 01:23:51.634000,2025-09-03 01:23:51.634000,2025-09-03 01:38:51.634000,9101,9517,Asia,Low
BINANCE,20250903,111500.0,Round,2025-09-03 00:11:17.432000,2025-09-02 23:56:17.432000,2025-09-03 00:11:17.432000,2025-09-03 00:11:17.432000,2025-09-03 00:26:17.432000,9728,12197,Asia,Low
BINANCE,20250903,111771.52,Prior_HL,2025-09-03 00:27:01.134000,2025-09-03 00:12:01.134000,2025-09-03 00:27:01.134000,2025-09-03 00:27:01.134000,2025-09-03 00:42:01.134000,14335,15543,Asia,Low
BINANCE,20250903,112000.0,Round,2025-09-03 14:39:48.040000,2025-09-03 14:24:48.040000,2025-09-03 14:39:48.040000,2025-09-03 14:39:48.040000,2025-09-03 14:54:48.040000,23313,36419,EU,Medium
BINANCE,20250903,112500.0,Round,2025-09-03 14:43:20.533000,2025-09-03 14:28:20.533000,2025-09-03 14:43:20.533000,2025-09-03 14:43:20.533000,2025-09-03 14:58:20.533000,34779,23514,EU,Medium
COINBASE,20250903,111000.0,Round,2025-09-03 01:23:53.158864,2025-09-03 01:08:53.158864,2025-09-03 01:23:53.158864,2025-09-03 01:23:53.158864,2025-09-03 01:38:53.158864,4633,4673,Asia,Low
COINBASE,20250903,111500.0,Round,2025-09-03 00:11:02.774373,2025-09-02 23:56:02.774373,2025-09-03 00:11:02.774373,2025-09-03 00:11:02.774373,2025-09-03 00:26:02.774373,2425,4153,Asia,Low
COINBASE,20250903,111801.86,Prior_HL,2025-09-03 12:37:43.628053,2025-09-03 12:22:43.628053,2025-09-03 12:37:43.628053,2025-09-03 12:37:43.628053,2025-09-03 12:52:43.628053,4065,5809,EU,Medium
COINBASE,20250903,112000.0,Round,2025-09-03 14:39:46.206304,2025-09-03 14:24:46.206304,2025-09-03 14:39:46.206304,2025-09-03 14:39:46.206304,2025-09-03 14:54:46.206304,9190,9940,EU,Medium
COINBASE,20250903,112500.0,Round,2025-09-03 14:43:15.882678,2025-09-03 14:28:15.882678,2025-09-03 14:43:15.882678,2025-09-03 14:43:15.882678,2025-09-03 14:58:15.882678,10208,7726,EU,Medium
BYBITSPOT,20250903,111000.0,Round,2025-09-03 01:23:55.348000,2025-09-03 01:08:55.348000,2025-09-03 01:23:55.348000,2025-09-03 01:23:55.348000,2025-09-03 01:38:55.348000,2757,3536,Asia,Low
BYBITSPOT,20250903,111500.0,Round,2025-09-03 00:11:19.823000,2025-09-02 23:56:19.823000,2025-09-03 00:11:19.823000,2025-09-03 00:11:19.823000,2025-09-03 00:26:19.823000,3143,4245,Asia,Low
BYBITSPOT,20250903,111776.0,Prior_HL,2025-09-03 00:27:02.572000,2025-09-03 00:12:02.572000,2025-09-03 00:27:02.572000,2025-09-03 00:27:02.572000,2025-09-03 00:42:02.572000,5171,4815,Asia,Low
