event_id,date,venue_event,venue_i,venue_j,delta_disp,delta_entropy,session,wash_tercile,n_pre,n_post
13,20250901,BYBITSPOT,BITGET,BYBITSPOT,1.0593868350584744e-07,0.0,London,low,180,180
14,20250901,BYBITSPOT,BYBITSPOT,BINANCE,7.076110141450325e-08,0.0,London,low,180,180
14,20250901,BYBITSPOT,BINANCE,BYBITSPOT,-3.008168501480411e-08,0.0,London,low,180,180
14,20250901,BYBITSPOT,BYBITSPOT,COINBASE,7.521679763597287e-08,0.0,London,low,180,180
14,20250901,BYBITSPOT,COINBASE,BYBITSPOT,6.896380751964973e-09,0.0,London,low,180,180
14,20250901,BYBITSPOT,BYBITSPOT,BITGET,3.098760918786764e-08,0.0,London,low,180,180
14,20250901,BYBITSPOT,BITGET,BYBITSPOT,3.938561945932167e-08,0.0,London,low,180,180
15,20250901,COINBASE,COINBASE,BINANCE,2.22163559400286e-09,0.0,Tokyo,low,180,180
15,20250901,COINBASE,BINANCE,COINBASE,2.22163559400286e-09,0.0,Tokyo,low,180,180
15,20250901,COINBASE,COINBASE,BYBITSPOT,2.757283699275144e-08,0.0,Tokyo,low,178,178
15,20250901,COINBASE,BYBITSPOT,COINBASE,2.822305045771888e-08,0.0,Tokyo,low,176,176
15,20250901,COINBASE,COINBASE,BITGET,9.615130173798997e-09,0.0,Tokyo,low,170,180
15,20250901,COINBASE,BITGET,COINBASE,1.615470205061272e-08,1.921584454955827e-05,Tokyo,low,162,178
16,20250901,COINBASE,COINBASE,BINANCE,2.565178749593315e-09,0.0001552696480675575,Tokyo,low,114,180
16,20250901,COINBASE,BINANCE,COINBASE,2.565178749593315e-09,0.0001552696480675575,Tokyo,low,114,180
16,20250901,COINBASE,COINBASE,BYBITSPOT,5.122885734348507e-10,0.00014079290243085296,Tokyo,low,113,178
16,20250901,COINBASE,BYBITSPOT,COINBASE,2.4423462535633435e-09,0.00017426469088310803,Tokyo,low,112,176
16,20250901,COINBASE,COINBASE,BITGET,-7.169227157705351e-10,0.0001932396212405152,Tokyo,low,107,171
16,20250901,COINBASE,BITGET,COINBASE,-3.2323481861319603e-10,-0.00011314944552243134,Tokyo,low,100,163
17,20250901,COINBASE,COINBASE,BINANCE,1.9856743739419997e-08,0.0,London,low,180,180
17,20250901,COINBASE,BINANCE,COINBASE,1.5788393531341152e-08,0.0,London,low,180,180
17,20250901,COINBASE,COINBASE,BYBITSPOT,5.600724130157058e-09,6.644336593586431e-05,London,low,174,180
17,20250901,COINBASE,BYBITSPOT,COINBASE,2.4539349365952572e-08,4.3155334296329784e-05,London,low,167,176
17,20250901,COINBASE,COINBASE,BITGET,3.06080166505674e-08,0.0,London,low,180,180
17,20250901,COINBASE,BITGET,COINBASE,2.245545087987518e-08,0.0,London,low,180,180
18,20250901,COINBASE,COINBASE,BINANCE,7.102684225410493e-08,0.0,London,low,180,180
18,20250901,COINBASE,BINANCE,COINBASE,7.136874607538483e-08,0.0,London,low,180,180
18,20250901,COINBASE,COINBASE,BYBITSPOT,4.977990071701553e-08,0.0,London,low,180,180
18,20250901,COINBASE,BYBITSPOT,COINBASE,1.7421059643539916e-08,9.486583594142672e-05,London,low,178,180
18,20250901,COINBASE,COINBASE,BITGET,4.99136316327354e-08,0.0,London,low,180,180
18,20250901,COINBASE,BITGET,COINBASE,4.3016252243561783e-08,0.0,London,low,180,180
19,20250901,COINBASE,COINBASE,BINANCE,5.2295928713888656e-08,0.0,London,low,180,180
19,20250901,COINBASE,BINANCE,COINBASE,4.805808296848184e-08,0.0,London,low,180,180
19,20250901,COINBASE,COINBASE,BYBITSPOT,6.896380751964973e-09,0.0,London,low,180,180
19,20250901,COINBASE,BYBITSPOT,COINBASE,7.521679763597287e-08,0.0,London,low,180,180
19,20250901,COINBASE,COINBASE,BITGET,-3.0202026632262367e-08,0.0,London,low,180,180
19,20250901,COINBASE,BITGET,COINBASE,5.207153149767536e-08,0.0,London,low,180,180
20,20250902,BINANCE,BINANCE,COINBASE,5.6456786018120555e-08,0.0,NewYork,low,180,180
20,20250902,BINANCE,COINBASE,BINANCE,1.7504131753199445e-07,0.0,NewYork,low,180,180
20,20250902,BINANCE,BINANCE,BYBITSPOT,-4.553109671437609e-08,6.277301686119507e-05,NewYork,low,179,180
