frequency,edge,n_days,pooled_beta,pooled_se,pooled_mde_05,pooled_mde_10,pooled_power_05,pooled_power_10,exceeds_mde_05,exceeds_mde_10
15S,BINANCE->COINBASE,21,0.0029303459818140723,0.0030952252902038857,0.00867153741976463,0.00769619987175126,0.15547446353196087,0.24255027936854368,False,False
15S,BITGET->BINANCE,21,0.003286288198976547,0.003318052476509853,0.009295806771113132,0.00825025406874243,0.1661386260627929,0.2564184376873706,False,False
15S,BITGET->BYBITSPOT,21,0.002806902715850079,0.0033438144749181062,0.009367981205042744,0.008314310630141422,0.13124342798891592,0.21028802187188467,False,False
15S,BITGET->COINBASE,21,-0.0022185405366942543,0.002763380677383123,0.007741846457775558,0.006871076584371984,0.002865396664049147,0.007188779220249898,False,False
15S,BYBITSPOT->BINANCE,21,5.7726777772024624e-05,0.003438951401250591,0.009634515411552535,0.008550866205774705,0.0259973380419846,0.051755290124029296,False,False
15S,BYBITSPOT->BITGET,21,0.0025573199648573743,0.0033519092641371333,0.00939065944686251,0.008334438120035776,0.11564943523854665,0.18891291318496783,False,False
15S,BYBITSPOT->COINBASE,21,0.003438382503582576,0.0032419722042885744,0.009082661405067987,0.00806108238448237,0.18422503791258438,0.27951932224864184,False,False
15S,COINBASE->BINANCE,21,0.0029928068856544484,0.004022932476678672,0.011270588160129562,0.010002920468848625,0.11198725356605044,0.18381623039278983,False,False
15S,COINBASE->BITGET,21,-0.001159218046208506,0.003651324636060537,0.010229497126918915,0.009078926915177879,0.011379899780583345,0.02486189901078837,False,False
15S,COINBASE->BYBITSPOT,21,-0.0009045392017009116,0.0033307853391909676,0.009331478970984804,0.008281914011701532,0.012822911069990652,0.027655639394819496,False,False
30S,BINANCE->BITGET,21,0.0009347606427290096,0.003484526602541456,0.009762198221801546,0.008664187798047781,0.04535125622217459,0.08431902938203722,False,False
30S,BINANCE->BYBITSPOT,21,-0.005825373752519494,0.003571255482342169,0.01000517656943472,0.008879836977353695,0.0001646124984727057,0.0005263732198205594,False,False
30S,BINANCE->COINBASE,21,0.003052046679059161,0.0036228542024097153,0.010149734780849505,0.009008135897636884,0.1318857286566648,0.2111576155170864,False,False
30S,BITGET->BINANCE,21,-0.006329757609860426,0.004215564397400316,0.01181026290176003,0.01048189489705752,0.0002686022468243793,0.000826541160022296,False,False
30S,BITGET->BYBITSPOT,21,0.006898961732511585,0.004310043828437814,0.012074955079170408,0.010716815627168906,0.3596879234632512,0.4823793751227013,False,False
30S,BITGET->COINBASE,21,-0.0033862088253635778,0.0035814401015464388,0.010033709648049512,0.008905160776969125,0.0018336152465615832,0.00479403567730931,False,False
30S,BYBITSPOT->BINANCE,21,-0.002319788649532983,0.004521538855635337,0.012667476421071388,0.011242692695421467,0.006698890534461481,0.015467549736180856,False,False
30S,BYBITSPOT->BITGET,21,0.007546733047957397,0.004694636618332546,0.013152424554332314,0.011673095930781094,0.36225352205242356,0.4851104132556118,False,False
30S,BYBITSPOT->COINBASE,21,-0.00723203635817685,0.0041419220696037665,0.011603947644777785,0.010298785100320902,0.0001052699966642022,0.00034830273726918726,False,False
30S,COINBASE->BINANCE,21,0.0028588245919675625,0.005638099176047505,0.015795615309869598,0.014018991862385378,0.07312446905962432,0.12760222308276464,False,False
30S,COINBASE->BITGET,21,-0.0030398865421313597,0.004700105899713051,0.013167747212201637,0.011686695161438854,0.004570519970921338,0.010963691288654561,False,False
30S,COINBASE->BYBITSPOT,21,-0.005942112343863636,0.00426974295846063,0.011962048757565236,0.010616608527113377,0.000401667465223437,0.0011965803544414482,False,False
